 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: gA-f203.in  
  NUMBER OF POINTS IN SERIES:         9491
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    1926.470      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
   291    0.0463    2.0300     0.0221         -0.0242
   292    0.0241    3.0450     0.0136         -0.0106
   293    0.0250    2.6390     0.0125         -0.0126
   294    0.0188    2.2330     0.0104         -0.0084
   295    0.0105    2.8420     0.0060         -0.0046
   296    0.0137    2.2330     0.0066         -0.0071
   297    0.0131    2.0300     0.0065         -0.0066
   298    0.0077    1.8270     0.0055         -0.0023
   299    0.0031    1.4210     0.0013         -0.0018
   300    0.0202    2.2330     0.0106         -0.0096
   301    0.0092    1.6240     0.0034         -0.0057
   302    0.0191    1.8270     0.0075         -0.0116
   303    0.0188    1.8270     0.0101         -0.0086
   304    0.0315    2.0300     0.0148         -0.0167
   305    0.0255    1.8270     0.0164         -0.0091
   306    0.0124    1.6240     0.0034         -0.0090
   307    0.0164    3.0450     0.0091         -0.0073
   308    0.0357    2.2330     0.0176         -0.0181
   309    0.0272    2.2330     0.0179         -0.0093
   310    0.0036    1.2180     0.0010         -0.0025
   311    0.0130    1.8270     0.0036         -0.0094
   312    0.0133    1.6240     0.0087         -0.0046
   313    0.0256    2.2330     0.0129         -0.0127
   314    0.0320    2.2330     0.0124         -0.0197
   315    0.0200    1.8270     0.0108         -0.0093
   316    0.0142    1.6240     0.0088         -0.0054
   317    0.0295    2.2330     0.0152         -0.0144
   318    0.0252    2.0300     0.0106         -0.0145
   319    0.0139    2.0300     0.0082         -0.0057
   320    0.0102    2.0300     0.0088         -0.0013
   321    0.0107    1.8270     0.0013         -0.0094
   322    0.0101    1.8270     0.0052         -0.0049
   323    0.0137    1.8270     0.0090         -0.0047
   324    0.0107    2.4360     0.0058         -0.0049
   325    0.0063    2.4360     0.0019         -0.0043
   326    0.0158    3.2480     0.0050         -0.0108
   327    0.0187    1.8270     0.0077         -0.0110
   328    0.0201    1.8270     0.0126         -0.0075
   329    0.0262    2.0300     0.0108         -0.0154
   330    0.0111    1.8270     0.0058         -0.0053
   331    0.0168    4.4660     0.0093         -0.0075
   332    0.0096    3.2480     0.0061         -0.0036
   333    0.0137    2.0300     0.0035         -0.0102
   334    0.0147    2.0300     0.0097         -0.0049
   335    0.0186    2.4360     0.0072         -0.0113
   336    0.0153    1.8270     0.0074         -0.0078
   337    0.0262    2.2330     0.0134         -0.0128
   338    0.0170    2.0300     0.0087         -0.0082
   339    0.0162    3.4510     0.0104         -0.0058
   340    0.0101    1.8270     0.0013         -0.0087
   341    0.0328    2.2330     0.0168         -0.0160
   342    0.0218    2.0300     0.0109         -0.0110
   343    0.0248    2.6390     0.0112         -0.0136
   344    0.0177    1.8270     0.0118         -0.0059
   345    0.0135    3.6540     0.0084         -0.0050
   346    0.0060    1.4210     0.0044         -0.0016
   347    0.0152    2.8420     0.0076         -0.0076
   348    0.0036    2.4360     0.0015         -0.0021
   349    0.0079    1.8270     0.0043         -0.0036
   350    0.0118    2.6390     0.0064         -0.0054
   351    0.0195    2.0300     0.0077         -0.0118
   352    0.0291    2.2330     0.0168         -0.0123
   353    0.0169    2.0300     0.0076         -0.0093
   354    0.0136    3.2480     0.0056         -0.0080
   355    0.0089    1.8270     0.0062         -0.0027
   356    0.0113    1.8270     0.0044         -0.0068
   357    0.0122    2.0300     0.0064         -0.0058
   358    0.0171    2.2330     0.0074         -0.0097
   359    0.0122    5.0750     0.0060         -0.0062
   360    0.0144    2.8420     0.0083         -0.0061
   361    0.0088    4.2630     0.0028         -0.0061
   362    0.0080    1.8270     0.0058         -0.0022
   363    0.0131    2.2330     0.0047         -0.0084
   364    0.0125    1.8270     0.0071         -0.0054
   365    0.0125    2.2330     0.0056         -0.0069
   366    0.0066    3.4510     0.0035         -0.0031
   367    0.0054    2.2330     0.0025         -0.0029
   368    0.0086    2.0300     0.0021         -0.0065
   369    0.0226    2.4360     0.0119         -0.0107
   370    0.0107    2.4360     0.0063         -0.0044
   371    0.0115    2.2330     0.0043         -0.0072
   372    0.0237    2.0300     0.0114         -0.0123
   373    0.0274    2.0300     0.0130         -0.0144
   374    0.0228    2.0300     0.0125         -0.0103
   375    0.0102    1.6240     0.0053         -0.0049
   376    0.0140    2.2330     0.0072         -0.0068
   377    0.0117    3.2480     0.0038         -0.0079
   378    0.0160    1.8270     0.0071         -0.0089
   379    0.0169    1.8270     0.0084         -0.0085
   380    0.0266    2.2330     0.0135         -0.0131
   381    0.0218    1.8270     0.0098         -0.0120
   382    0.0251    2.2330     0.0129         -0.0122
   383    0.0224    2.0300     0.0105         -0.0119
   384    0.0342    2.2330     0.0157         -0.0185
   385    0.0247    2.2330     0.0158         -0.0089
   386    0.0046    2.6390     0.0019         -0.0026
   387    0.0067    1.8270     0.0037         -0.0029
   388    0.0085    1.6240     0.0038         -0.0047
   389    0.0192    2.2330     0.0081         -0.0111
   390    0.0228    2.0300     0.0127         -0.0101
   391    0.0071    1.6240     0.0028         -0.0044
   392    0.0096    2.8420     0.0056         -0.0040
   393    0.0129    2.2330     0.0065         -0.0064
   394    0.0101    1.6240     0.0058         -0.0043
   395    0.0107    3.0450     0.0045         -0.0062
   396    0.0117    2.2330     0.0062         -0.0055
   397    0.0100    1.6240     0.0050         -0.0050
   398    0.0105    2.0300     0.0056         -0.0049
   399    0.0034    1.2180     0.0027         -0.0007
   400    0.0083    2.0300     0.0035         -0.0049
   401    0.0040    1.4210     0.0018         -0.0022
   402    0.0114    2.0300     0.0046         -0.0067
   403    0.0111    1.6240     0.0050         -0.0061
   404    0.0114    1.8270     0.0065         -0.0048
   405    0.0079    1.6240     0.0025         -0.0054
   406    0.0169    2.0300     0.0097         -0.0072
   407    0.0116    1.6240     0.0053         -0.0063
   408    0.0250    2.0300     0.0105         -0.0145
   409    0.0288    2.0300     0.0151         -0.0137
   410    0.0273    2.0300     0.0144         -0.0129
   411    0.0291    2.2330     0.0141         -0.0150
   412    0.0253    1.8270     0.0128         -0.0125
   413    0.0277    2.2330     0.0145         -0.0132
   414    0.0202    1.8270     0.0118         -0.0084
   415    0.0201    2.2330     0.0097         -0.0104
   416    0.0112    1.8270     0.0055         -0.0057
   417    0.0109    1.8270     0.0062         -0.0048
   418    0.0096    2.0300     0.0048         -0.0048
   419    0.0074    1.8270     0.0044         -0.0030
   420    0.0058    1.4210     0.0026         -0.0032
   421    0.0126    2.0300     0.0051         -0.0075
   422    0.0107    1.6240     0.0066         -0.0041
   423    0.0138    1.8270     0.0063         -0.0075
   424    0.0171    2.0300     0.0083         -0.0089
   425    0.0137    2.0300     0.0066         -0.0071
   426    0.0085    2.0300     0.0064         -0.0021
   427    0.0025    1.6240     0.0016         -0.0009
   428    0.0076    2.4360     0.0030         -0.0046
   429    0.0060    2.0300     0.0045         -0.0015
   430    0.0021    1.6240     0.0008         -0.0013
   431    0.0071    2.8420     0.0012         -0.0058
   432    0.0150    1.8270     0.0068         -0.0083
   433    0.0254    2.0300     0.0121         -0.0134
   434    0.0281    2.0300     0.0132         -0.0149
   435    0.0181    1.8270     0.0115         -0.0066
   436    0.0110    1.8270     0.0059         -0.0050
   437    0.0051    1.4210     0.0022         -0.0029
   438    0.0054    1.6240     0.0036         -0.0018
   439    0.0049    3.2480     0.0018         -0.0032
   440    0.0042    1.6240     0.0022         -0.0020
   441    0.0091    2.0300     0.0046         -0.0045
   442    0.0091    1.6240     0.0032         -0.0059
   443    0.0132    2.2330     0.0069         -0.0063
   444    0.0026    1.2180     0.0014         -0.0012
   445    0.0034    2.8420     0.0015         -0.0019
   446    0.0113    2.0300     0.0026         -0.0087
   447    0.0210    2.0300     0.0108         -0.0101
   448    0.0112    1.6240     0.0063         -0.0049
   449    0.0138    1.6240     0.0049         -0.0089
   450    0.0219    1.8270     0.0113         -0.0106
   451    0.0226    2.0300     0.0102         -0.0124
   452    0.0166    2.0300     0.0096         -0.0069
   453    0.0094    2.8420     0.0046         -0.0047
   454    0.0137    2.0300     0.0071         -0.0066
   455    0.0101    2.0300     0.0058         -0.0043
   456    0.0070    2.0300     0.0054         -0.0017
   457    0.0049    2.0300     0.0003         -0.0046
   458    0.0124    3.2480     0.0044         -0.0080
   459    0.0192    2.0300     0.0094         -0.0098
   460    0.0176    1.8270     0.0112         -0.0064
   461    0.0123    1.8270     0.0058         -0.0066
   462    0.0179    1.8270     0.0075         -0.0104
   463    0.0187    1.8270     0.0101         -0.0086
   464    0.0230    2.2330     0.0118         -0.0113
   465    0.0144    1.8270     0.0093         -0.0051
   466    0.0134    1.8270     0.0050         -0.0083
   467    0.0187    1.8270     0.0100         -0.0086
   468    0.0197    2.0300     0.0095         -0.0102
   469    0.0106    1.8270     0.0078         -0.0028
   470    0.0038    1.2180     0.0003         -0.0035
   471    0.0127    2.0300     0.0055         -0.0072
   472    0.0128    1.8270     0.0052         -0.0076
   473    0.0151    1.8270     0.0073         -0.0078
   474    0.0137    1.8270     0.0083         -0.0054
   475    0.0087    1.8270     0.0035         -0.0052
   476    0.0051    1.4210     0.0024         -0.0027
   477    0.0110    1.8270     0.0047         -0.0063
   478    0.0111    1.8270     0.0069         -0.0043
   479    0.0055    1.8270     0.0026         -0.0029
   480    0.0021    1.4210     0.0003         -0.0018
   481    0.0037    1.4210     0.0035         -0.0002
   482    0.0063    2.0300     0.0030         -0.0033
   483    0.0069    1.4210     0.0017         -0.0053
   484    0.0244    2.0300     0.0108         -0.0136
   485    0.0321    1.8270     0.0163         -0.0158
   486    0.0256    2.0300     0.0138         -0.0118
   487    0.0131    1.8270     0.0088         -0.0042
   488    0.0038    1.4210     0.0022         -0.0016
   489    0.0042    1.6240     0.0022         -0.0020
   490    0.0049    1.8270     0.0037         -0.0012
   491    0.0021    1.6240     0.0006         -0.0015
   492    0.0027    1.6240     0.0005         -0.0022
   493    0.0031    1.4210     0.0008         -0.0023
   494    0.0060    1.8270     0.0038         -0.0022
   495    0.0032    1.6240     0.0023         -0.0009
   496    0.0057    1.6240     0.0007         -0.0050
   497    0.0123    1.6240     0.0061         -0.0062
   498    0.0202    2.0300     0.0087         -0.0115
   499    0.0192    1.8270     0.0092         -0.0100
   500    0.0144    2.0300     0.0096         -0.0048
   501    0.0083    2.6390     0.0049         -0.0033
   502    0.0081    1.8270     0.0026         -0.0055
   503    0.0155    2.0300     0.0066         -0.0089
   504    0.0162    2.0300     0.0092         -0.0069
